#,id,product_name,product_name_synonyms,price,discontinued,release_date,key_binding,tags,features,keyboard_layout,keyboard_type,switch_options,multi_media_key_count,main_frame_material,key_cap_profile,stabilizer,reinforcing_plate,n_key_rollover,plug_and_play,polling_rate,support_platforms,battery_capacity,bluetooth_runtime,backlight_pattern,connection_method,supports_2_4ghz,dynamic_keystroke,hot_swap_socket,rapid_trigger,size,height_including_key_cap,height_not_including_key_cap,package_contents,warranty_period,weight,color,color_details
1,4,C1 RETRO,"[""C1""]","84,000",true,"",[],[],[],80% 텐키리스,기계식 키보드,"[""기계식 적축, 기계식 청축, 기계식 갈축""]",12,ABS,이중사출 ABS/OEM 프로파일,정보 없음,정보 없음,유선: n_key_rollover 지원,Plug & Play 지원,정보 없음,MAC / Windows / Linux,미지원,블루투스 미지원,미지원,유선: Type C to C 케이블,미지원,미지원,미지원,미지원,357 x 130mm,프론트: 27mm / 리어: 38mm,정보 없음,"[""키보드, Type C to C 케이블, Type C to USB 변환 젠더, 키캡 리무버, 유저 메뉴얼, 퀵 스타터 가이드, Windows용 추가 키캡""]",1년,685,"[""레트로""]","[{""colorName"": ""레트로"", ""releaseDate"": """"}]"
2,5,C2,"[""C2""]","114,000",true,"",[],[],[],100% 풀배열,기계식 키보드,"[""게이트론 G PRO 기계식 - 적축/청축/갈축""]",12,ABS,이중사출 ABS/OEM 프로파일(영문: 이중사출 / 한글: 레이저각인),정보 없음,정보 없음,무한 동시입력 지원,Plug & Play 지원,1000Hz,MAC / IOS / Windows / Android / Linux,미지원,블루투스 미지원,RGB 18종 - 4단계 밝기 조절,USB Type-C 케이블/ 무선: 미지원,미지원,미지원,미지원,미지원,ABS 프레임: 435.6 x 130mm,프론트: 30mm / 리어: 40mm,정보 없음,"[""키보드, USB Type C to C 케이블, C to C USB 변환 젠더, 키캡 리무버, 유저 메뉴얼, 퀵 스타터 가이드, Windows용 추가 키캡""]",1년,829g,"[""WHITE LED & RGB - 블랙화이트""]","[{""colorName"": ""WHITE LED & RGB - 블랙화이트"", ""releaseDate"": """"}]"
3,6,C1,"[""C1""]","109,000",true,"",[],[],[],80% 텐키리스,기계식 키보드,"[""게이트론 G PRO 기계식-적축/청축/갈축""]",12개,ABS,이중사출 ABS/OEM 프로파일(영문: 이중사출 / 한글: 레이저각인),정보 없음,정보 없음,n_key_rollover 지원,Plug & Play 지원,1000Hz,MAC / Windows / Linux,미지원,블루투스 미지원,RGB 18종 - 4단계 밝기 조절,USB Type-C 케이블/ 무선: 미지원,미지원,미지원,미지원,미지원,ABS 프레임: 357 x 130mm,프론트: 27mm / 리어: 38mm,정보 없음,"[""키보드, USB Type C to C 케이블, C to USB 변환 젠더, 키캡 리무버, 유저 메뉴얼, 퀵스타터 가이드, Windows용 추가 키캡""]",1년,685g,"[""WHITE LED & RGB - 블랙화이트""]","[{""colorName"": ""WHITE LED & RGB - 블랙화이트"", ""releaseDate"": """"}]"
4,7,K1,"[""K1""]","139,000",true,"",[],[],[],80% 텐키리스,기계식 키보드,"[""키크론 로우프로파일 기계식 스위치(적축/청축/갈축)"", ""키크론 로우프로파일 옵티컬 핫스왑 스위치(적축/청축/갈축)""]",12,알루미늄,ABS/로우프로파일,정보 없음,정보 없음,유선: 무한 동시 입력 / 무선: 6키 동시 입력,Plug & Play 지원,"유선: 1,000Hz / 블루투스: 90Hz",IOS / MAC / Windows / Android / Linux,"2,000mAh","White LED: 최대 36시간,백라이트 off시 최대 190시간 / RGB: 최대 38시간, 백라이트 off시 최대 110시간",RGB 18종 - 4단계 밝기 조절,유선: USB Type-C 케이블 / 무선: 블루투스 5.1 ,미지원,미지원,핫스왑 지원 옵션에 따라 MX 스타일 로우프로파일 호환,미지원,355 x 120 mm,프론트: 17mm / 리어: 22mm,정보 없음,"[""K1 키보드"", ""USB Type A to C 케이블"", ""키캡 리무버"", ""유저 메뉴얼"", ""퀵 스타트 가이드"", ""Windows용 추가 키캡 x 1set"", ""스위치 리무버(핫스왑 버전만 동봉)"", "" 스위치 교체 가이드(핫스왑 버전만 동봉)""]",1년,650g,"[""White LED - 라이트 그레이"", ""RGB - 다크 그레이""]","[{""colorName"": ""White LED - 라이트 그레이"", ""releaseDate"": """"}, {""colorName"": ""RGB - 다크 그레이"", ""releaseDate"": """"}]"
5,8,K1 SE White,"[""K1""]","149,000",true,"",[],[],[],80% 텐키리스,기계식 키보드,"[""키크론 로우프로파일 기계식 스위치(적축/청축/갈축)""]",12,ABS + 알루미늄,이중사출PBT/로우프로파일,정보 없음,정보 없음,유선: 무한 동시 입력 / 무선: 6키 동시 입력,Plug & Play 지원,"유선: 1,000Hz / 블루투스: 90Hz",IOS / MAC / Windows / Android / Linux,"2,000mAh",약 36시간 / 백라이트 off시 최대 190시간,RGB 18종 - 4단계 밝기 조절,유선: USB Type-C 케이블 / 무선: 블루투스 5.1 ,미지원,미지원,MX 스타일 로우프로파일 핫스왑 지원,미지원,355 x 120 mm,프론트: 17mm / 리어: 22mm,정보 없음,"[""K1 SE White 키보드"", ""USB Type A to C 케이블"", ""퀵 스타터 가이드"", ""사용자 메뉴얼"", ""키캡 리무버"", ""스위치 리무버"", ""추가 키캡""]",1년,550g,"[""화이트""]","[{""colorName"": ""화이트"", ""releaseDate"": """"}]"
6,9,K2,"[""K2""]","139,000",true,"",[],[],[],75% 컴팩트 텐키리스,기계식 키보드,"[""게이트론 G PRO 기계식 스위치 (적축/청축/갈축)""]",12,ABS/알루미늄,ABS/OEM 프로파일(영문: 이중사출 / 한글: 레이저 각인),정보 없음,정보 없음,유선: 무한 동시 입력 / 무선: 6키 동시 입력,Plug & Play 지원,"유선: 1,000Hz / 무선: 90Hz",IOS / MAC / Windows / Android / Linux,"4,000mAh",White LED : 약 68시간 / RGB: 약 72시간 / LED Off: 약 240시간,RGB 18종 - 4단계 밝기 조절,유선: USB Type-C 케이블 / 무선: 블루투스,미지원,미지원,미지원 및 핫스왑 지원 모델 있음,미지원,ABS: 313 x 123mm / 알루미늄: 317 x 129mm,프론트: 30mm / 리어: 40mm,정보 없음,"[""K2 키보드"", ""퀵 스타터 가이드"", ""사용자 매뉴얼"", ""USB Type A to C 케이블"", ""키캡 리무버"", ""추가 키캡 x 1SET""]",1년,ABS 663g / 알루미늄 794g,"[""White LED/RGB - 라이트 그레이"", ""알루미늄 RGB - 다크 그레이""]","[{""colorName"": ""White LED/RGB - 라이트 그레이"", ""releaseDate"": """"}, {""colorName"": ""알루미늄 RGB - 다크 그레이"", ""releaseDate"": """"}]"
7,10,K2 HotSwap,"[""K2""]","139,000",true,"",[],[],[],75% 컴팩트 텐키리스,기계식 키보드,"[""게이트론 G PRO 핫스왑 스위치 (적축/청축/갈축)""]",12,ABS/알루미늄,ABS/OEM 프로파일,정보 없음,정보 없음,유선: 무한 동시 입력 / 무선: 6키 동시 입력,Plug & Play 지원,"유선: 1,000Hz / 무선: 90Hz",IOS / MAC / Windows / Android / Linux,"4,000mAh",White LED : 약 68시간 / RGB: 약 72시간 / LED Off: 약 240시간,RGB 18종 - 4단계 밝기 조절,유선: USB Type-C 케이블 / 무선: 블루투스,미지원,미지원,MX 스타일 3Pin & 5Pin 호환,미지원,ABS: 313 x 123mm / 알루미늄: 317 x 129mm,프론트: 30mm / 리어: 40mm,정보 없음,"[""K2 핫스왑 키보드"", ""퀵 스타터 가이드"", ""사용자 매뉴얼"", ""USB Type A to C 케이블"", ""키캡 리무버"", ""스위치 리무버"", ""스위치 교체 가이드"", ""추가 키캡 x 1SET""]",1년,ABS 663g / 알루미늄 794g,"[""블랙 화이트""]","[{""colorName"": ""블랙 화이트"", ""releaseDate"": """"}]"
8,11,K2 Retro,"[""K2""]","134,000",true,"",[],[],[],75% 컴팩트 텐키리스,기계식 키보드,"[""키크론 기계식 스위치 (적축/청축/갈축)"", ""키크론 기계식 핫스왑 스위치 (적축/청축/갈축)""]",12,ABS/알루미늄,ABS/OEM 프로파일(영문: 이중사출 / 한글: 레이저 각인),정보 없음,정보 없음,유선: 무한 동시 입력 / 무선: 6키 동시 입력,Plug & Play 지원,"유선: 1,000Hz / 무선: 90Hz",IOS / MAC / Windows / Android / Linux,"4,000mAh",약 570시간,미지원,유선: USB Type-C 케이블 / 무선: 블루투스 5.1,미지원,미지원,핫스왑 지원 옵션에 따라 MX 스타일 3Pin & 5Pin 호환,미지원,ABS: 313 x 123mm / 알루미늄: 317 x 129mm,프론트: 30mm / 리어: 40mm,정보 없음,"[""K2 레트로 키보드"", ""퀵 스타터 가이드"", ""사용자 매뉴얼"", ""USB Type A to C 케이블"", ""키캡 리무버"", ""스위치 리무버(핫스왑 버전만 동봉)"", ""스위치 교체 가이드(핫스왑 버전만 동봉)"", ""추가 키캡 x 1SET""]",1년,ABS 663g / 알루미늄 794g,"[""레트로""]","[{""colorName"": ""레트로"", ""releaseDate"": """"}]"
9,12,K2 Retro 저소음 적축,"[""K2""]","144,000",true,"",[],[],[],75% 컴팩트 텐키리스,기계식 키보드,"[""키크론 K-RPO 기계식 핫스왑 저소음 적축""]",12,ABS + 알루미늄,ABS/OEM 프로파일(영문: 이중사출 / 한글: 레이저 각인),정보 없음,정보 없음,유선: 무한 동시 입력 / 무선: 6키 동시 입력,Plug & Play 지원,"유선: 1,000Hz / 무선: 90Hz",IOS / MAC / Windows / Android / Linux,"4,000mAh",약 570시간,미지원,유선: USB Type-C 케이블 / 무선: 블루투스 5.1,미지원,미지원,MX 스타일 3Pin & 5Pin 호환,미지원,317 x 129mm,프론트: 30mm / 리어: 40mm,정보 없음,"[""K2 레트로 저소음 적축 키보드"", ""퀵 스타터 가이드"", ""사용자 매뉴얼"", ""USB Type A to C 케이블"", ""키캡 리무버"", ""스위치 리무버"", ""추가 키캡 x 1SET""]",1년,794g,"[""레트로""]","[{""colorName"": ""레트로"", ""releaseDate"": """"}]"
10,13,K4,"[""K4""]","184,000",true,"",[],[],[],96% 컴팩트 풀배열,기계식 키보드,"[""게이트론 G PRO 기계식 스위치 (적축/청축/갈축)"", ""게이트론 G PRO 기계식 핫스왑 스위치 (적축/청축/갈축)""]",12,ABS/알루미늄,이중사출 ABS/OEM 프로파일(영문:이중사출/한글: 레이저 각인),정보 없음,정보 없음,유선: 무한 동시 입력 / 무선: 6키 동시 입력,Plug & Play 지원,"유선: 1,000Hz / 블루투스: 90Hz",IOS / MAC / Windows / Android / Linux,"4,000mAh",White LED: 약 68시간 / RGB: 약 72시간 / LED OFF시 최대 240시간,RGB 18종 - 4단계 밝기 조절,유선: USB Type-C 케이블 / 무선: 블루투스 5.1,미지원,미지원,핫스왑 옵션에 따라 MX 스타일 3pin & 5pin 핫스왑 지원,미지원,ABS: 317 x 124mm / 알루미늄: 376 x 129mm,프론트: 32mm / 리어: 41mm,정보 없음,"[""K4 키보드"", ""USB Type A to C 케이블"", ""키캡 리무버"", ""퀵 스타트 가이드"", ""Windows용 추가 키캡"", ""스위치 리무버(핫스왑 버전만 동봉"", ""스위치 교체 가이드(핫스왑 버전만 동봉)""]",1년,ABS: 770g / 알루미늄: 993g,"[""White LED & RGB - 라이트 그레이"", ""알루미늄 RGB - 다크 그레이""]","[{""colorName"": ""White LED & RGB - 라이트 그레이"", ""releaseDate"": """"}, {""colorName"": ""알루미늄 RGB - 다크 그레이"", ""releaseDate"": """"}]"
11,14,K4 PRO 저소음 갈축,"[""K4""]","199,000",true,"",[],[],[],96% 컴팩트 풀배열,기계식 키보드,"[""키크론 K PRO 기계식 저소음 갈축""]",12,ABS,이중사출 PBT/OSA 프로파일(영문:이중사출/한글: 레이저 각인),정보 없음,정보 없음,유선: 무한 동시 입력 / 무선: 무한 동시 입력,Plug & Play 지원,"유선: 1,000Hz / 블루투스: 90Hz",IOS / MAC / Windows / Android / Linux,"4,000mAh",LED 최소 밝기: 약 100시간 / LED OFF: 약 300시간,RGB 22종 - 4단계 밝기 조절,유선: USB Type-C 케이블 / 무선: 블루투스 5.1,미지원,미지원,MX 스타일 3pin & 5pin 핫스왑 지원,미지원,390.6 x 139.2mm,프론트: 33mm / 리어: 40mm,정보 없음,"[""K4 PRO 저소음 갈축 키보드"", ""USB Type A to C 케이블"", ""키캡 리무버"", ""스위치 리무버"", ""스크류 드라이버"", ""육각렌치"", ""Windows용 추가 키캡""]",1년,1280g,"[""RGB LED - 다크 그레이""]","[{""colorName"": ""RGB LED - 다크 그레이"", ""releaseDate"": """"}]"
12,15,K4 PRO 저소음 적축,"[""K4""]","199,000",true,"",[],[],[],96% 컴팩트 풀배열,기계식 키보드,"[""키크론 K PRO 기계식 저소음 적축""]",12,ABS,이중사출 PBT/OSA 프로파일(영문:이중사출/한글: 레이저 각인),정보 없음,정보 없음,유선: 무한 동시 입력 / 무선: 무한 동시 입력,Plug & Play 지원,"유선: 1,000Hz / 블루투스: 90Hz",IOS / MAC / Windows / Android / Linux,"4,000mAh",LED 최소 밝기: 약 100시간 / LED OFF: 약 300시간,RGB 22종 - 4단계 밝기 조절,유선: USB Type-C 케이블 / 무선: 블루투스 5.1,미지원,미지원,MX 스타일 3pin & 5pin 핫스왑 지원,미지원,390.6 x 139.2mm,프론트: 33mm / 리어: 40mm,정보 없음,"[""K4 PRO 저소음 적축 키보드"", ""USB Type A to C 케이블"", ""키캡 리무버"", ""스위치 리무버"", ""스크류 드라이버"", ""육각렌치"", ""Windows용 추가 키캡""]",1년,1280g,"[""RGB LED - 다크 그레이""]","[{""colorName"": ""RGB LED - 다크 그레이"", ""releaseDate"": """"}]"
13,16,K4 PRO White,"[""K4""]","189,000",true,"",[],[],[],96% 컴팩트 풀배열,기계식 키보드,"[""키크론 K PRO 기계식 스위치 바나나축""]",12,ABS,이중사출 PBT/OSA 프로파일,정보 없음,정보 없음,유선: 무한 동시 입력 / 무선: 무한 동시 입력,Plug & Play 지원,"유선: 1,000Hz / 블루투스: 90Hz",IOS / MAC / Windows / Android / Linux,"4,000mAh",LED 최소 밝기: 약 100시간 / LED OFF: 약 300시간,RGB 22종 - 4단계 밝기 조절,유선: USB Type-C 케이블 / 무선: 블루투스 5.1,미지원,미지원,MX 스타일 3pin & 5pin 핫스왑 지원,미지원,390.6 x 139.2mm,프론트: 33mm / 리어: 40mm,정보 없음,"[""K4 PRO White 키보드"", ""USB Type A to C 케이블"", ""키캡 리무버"", ""스위치 리무버"", ""스크류 드라이버"", ""육각렌치"", ""Windows용 추가 키캡""]",1년,1280g,"[""쉘 화이트""]","[{""colorName"": ""쉘 화이트"", ""releaseDate"": """"}]"
14,17,K3,"[""K3""]","134,000",true,"",[],[],[],75% 컴팩트 텐키리스,기계식 키보드,"[""키크론 로우프로파일 기계식 스위치"", ""키크론 로우프로파일 옵티컬 핫스왑 스위치""]",12,ABS +알루미늄,ABS / 로우프로파일,정보 없음,정보 없음,"유선: 무한 동시 입력
무선: 6키 동시 입력",Plug & Play 지원,1000Hz,IOS / MAC / Windows / Android / Linux,"1,550mAh",약 34시간,"18종, 4단계 밝기 조절","유선: USB Type-C, 무선: 블루투스 5.1",미지원,미지원,핫스왑 지원 모델만 로우 프로파일 옵티컬 스위치만 호환,미지원,306 x 116mm,프론트: 17mm / 리어: 22mm,정보 없음,"[""K3 키보드"", ""퀵 스타터 가이드"", ""사용자 메뉴얼"", ""USB Type A to C 케이블"", ""스위치 리무버(핫스왑 모델만 동봉)"", ""키캡 리무버(핫스왑 버전만 동봉)"", ""windows용 추가 키캡 x 1set""]",1년,483g,"[""White LED/RGB - 라이트 그레이"", ""RGB - 다크 그레이""]","[{""colorName"": ""White LED/RGB - 라이트 그레이"", ""releaseDate"": """"}, {""colorName"": ""RGB - 다크 그레이"", ""releaseDate"": """"}]"
15,18,K3 Retro,"[""K3""]","119,000",true,"",[],[],[],75% 컴팩트 텐키리스,기계식 키보드,"[""게이트론 로우프로파일 기계식 스위치 적축/청축/갈축""]",12,ABS +알루미늄,ABS / 로우프로파일,정보 없음,정보 없음,"유선: 무한 동시 입력
무선: 6키 동시 입력",Plug & Play 지원,유선:1000Hz / 블루투스: 90Hz,IOS / MAC / Windows / Android / Linux,"1,550mAh",약 268시간,미지원,"유선: USB Type-C, 무선: 블루투스 5.1",미지원,미지원,미지원,미지원,306 x 116mm,프론트: 17mm / 리어: 22mm,정보 없음,"[""K3 Retro 키보드"", ""퀵 스타터 가이드"", ""사용자 메뉴얼"", ""USB Type A to C 케이블"", ""키캡 리무버"", ""windows용 추가 키캡 x 1set""]",1년,483g,"[""레트로""]","[{""colorName"": ""레트로"", ""releaseDate"": """"}]"
16,19,K3 PRO White,"[""K3""]","184,000",true,"",[],[],[],75% 컴팩트 텐키리스,기계식 키보드,"[""게이트론 로우프로파일 기계식 핫스왑 적축""]",12,ABS +알루미늄,ABS / 로우프로파일,정보 없음,정보 없음,무한 동시 입력(fn + n d으로 on/off),Plug & Play 지원,1000Hz,IOS / MAC / Windows / Android / Linux,"1,550mAh",LED 최소밝기: 약 33시간 / LED Off: 약 100시간,지원,"유선: USB Type-C, 무선: 블루투스 5.1",미지원,미지원,MX스타일 3pin 5pin 로우 프로파일 스위치만 호환,미지원,306 x 116mm,프론트: 17mm / 리어: 22mm,정보 없음,"[""K3 Retro 키보드"", ""USB Type A to C 케이블"", ""키캡 리무버"", ""스위치 리무버"", ""windows용 추가 키캡 x 1set""]",1년,525g,"[""화이트""]","[{""colorName"": ""화이트"", ""releaseDate"": """"}]"
17,20,K6,"[""K6""]","159,000",true,"",[],[],[],65% 울트라 컴팩트 배열,기계식 키보드,"[""게이트론 G PRO 기계식 적축/청축/갈축"", ""LK 옵티컬 적축/청축/갈축"", ""게이트론 G PRO 기계식 핫스왑 적축/청축/갈축""]",12,ABS/알루미늄,이중사출 ABS/OEM 프로파일(영문: 이중사출/한글: 레이저 각인),정보 없음,정보 없음,유선: 무한 동시 입력 / 무선: 6키 동시 입력,Plug & Play 지원,"유선: 1,000Hz / 블루투스: 90Hz ",IOS / MAC / Windows / Android / Linux,"4,000mAh",White lED: 약 68시간 / RGB: 약 72시간 / LED OFF시 최대 240시간,RGB 18종 - 4단계 밝기 조절,유선: USB Type-C 케이블 / 무선: 블루투스 5.1,미지원,미지원,핫스왑 지원 옵션에따라 MX 스타일 3핀 5핀 핫스왑 지원,미지원,ABS 프레임: 313 x 104mm / 알루미늄 프레임: 317 x 107mm,프론트: 30mm / 리어: 37mm,정보 없음,"[""K6 키보드"", ""USB Type A to C 케이블"", ""키캡 리무버"", ""유저 메뉴얼"", ""퀵 스타트 가이드"", ""Windows용 추가 키캡"", ""스위치 리무버(핫스왑 버전만 동봉)"", ""스위치 교체 가이드(핫스왑 버전만 동봉)""]",1년,ABS 프레임: 530g / 알루미늄 프레임: 664g,"[""White LED - 라이트 그레이"", ""알루미늄 RGB - 다크 그레이""]","[{""colorName"": ""White LED - 라이트 그레이"", ""releaseDate"": """"}, {""colorName"": ""알루미늄 RGB - 다크 그레이"", ""releaseDate"": """"}]"
